symbol,mcap_cr
AARTIPHARM,6255.5
IBULLSLTD,6241.1
DCBBANK,6189.7
FIEMIND,6132.7
ISGEC,6130.5
AEROFLEX,6125.6
DBREALTY,6096.7
CCAVENUE,6032.6
ARVINDFASN,6013.0
CEIGALL,5956.1
ALOKINDS,5943.4
CORDELIA,5878.1
GOKEX,5825.6
EBGNG,5796.9
HAPPSTMNDS,5776.8
GULFOILLUB,5751.9
HCC,5741.9
FEDFINA,5617.3
CSBBANK,5578.4
AHLUCONT,5549.6
IFBIND,5533.7
ENTERO,5463.0
GOLDIAM,5463.0
CENTUM,5442.5
INNOVACAP,5424.6
CYIENTDLM,5303.1
CRAMC,5286.6
IONEXCHANG,5270.0
CARERATING,5225.2
BLISSGVS,5203.3
INDIGOPNTS,5190.0
EMIL,5111.4
BALUFORGE,5092.4
GVPIL,5084.1
GUJALKALI,5022.4
GOODLUCK,4998.1
ICRA,4967.1
DEEDEV,4948.9
DATAMATICS,4936.3
BANSALWIRE,4931.5
GREAVESCOT,4883.4
EPIGRAL,4805.9
COOLCAPS,4695.2
AGI,4633.0
HIRECT,4628.9
HAWKINCOOK,4529.3
CAPILLARY,4523.9
IOLCP,4496.5
FCL,4495.0
DHANUKA,4491.7
CMSINFO,4453.8
ELECTCAST,4434.2
ANUP,4419.3
BANARISUG,4387.0
IDEAFORGE,4373.1
AVANTEL,4364.8
BAJAJHIND,4251.1
DEEPINDS,4213.4
AYE,4120.5
GHCL,4080.9
AURIONPRO,4066.2
BAJAJELEC,4043.9
GUFICBIO,3981.2
HEMIPROP,3980.3
EMUDHRA,3976.6
FOSECOIND,3946.0
EIEL,3944.0
ELLEN,3925.1
BOSCH-HCIL,3908.7
ASHIANA,3887.3
INDOSTAR,3871.8
GUJTHEM,3861.6
AGIIL,3856.8
GMMPFAUDLR,3805.6
AARTIDRUGS,3800.9
INDOTECH,3772.5
BHAGCHEM,3744.2
DBCORP,3739.6
HARSHA,3730.1
ADVENZYMES,3663.9
INDIQUBE,3646.4
GREENPLY,3597.2
HGINFRA,3561.3
HEIDELBERG,3530.5
GOPAL,3453.3
GRAUWEIL,3427.3
FILATEX,3413.5
ASHOKA,3390.0
INDRAMEDCO,3385.9
DPABHUSHAN,3384.5
CRIZAC,3377.2
FUSION,3371.1
CARYSIL,3363.3
APCOTEXIND,3297.3
BUILDPRO,3286.3
DALMIASUG,3269.9
ARSSBL,3253.3
EUROPRATIK,3174.3
HERITGFOOD,3121.7
DREDGECORP,3115.0
INTERARCH,3096.3
CHEMPLASTS,3079.0
CARRARO,3070.0
BEPL,3046.8
GANECOS,3034.9
ELPROINTL,3021.0
ANTELOPUS,2997.4
ADFFOODS,2990.5
BALMLAWRIE,2983.0
GATEWAY,2977.9
DDEVPLSTIK,2959.4
DIVGIITTS,2958.3
HLEGLAS,2947.0
DCAL,2923.5
BOROLTD,2873.7
BBL,2871.0
EFCIL,2838.6
AUTOAXLES,2827.3
HIKAL,2818.9
DIAMONDYD,2780.9
ARVSMART,2779.5
GSPCROP,2755.1
IMAGICAA,2750.1
CONFIPET,2729.4
HUBTOWN,2726.6
BLSE,2722.8
INDNIPPON,2662.5
GKENERGY,2641.5
FMGOETZE,2631.7
FLAIR,2630.1
ADOR,2628.0
EPACKPEB,2616.9
GLOBUSSPR,2609.1
ARKADE,2583.5
ADVAIT,2566.9
INA,2560.1
EVEREADY,2553.1
CAMLINFINE,2531.0
GIPCL,2529.7
AJMERA,2520.8
BOMDYEING,2519.9
FISCHER,2476.0
GREENPANEL,2446.4
EASEMYTRIP,2407.6
COSMOFIRST,2391.8
BETA,2375.7
BRIGHOTEL,2331.5
APOLLOPIPE,2321.4
GANDHAR,2319.7
EXICOM,2305.9
ALEMBICLTD,2280.2
EMSLIMITED,2270.1
BHARATRAS,2259.1
EPACK,2229.6
HUHTAMAKI,2225.6
GNA,2223.6
ESAFSFB,2169.3
GEOJITFSL,2163.2
HPL,2157.9
BFUTILITIE,2147.2
HONDAPOWER,2136.8
HINDOILEXP,2115.9
INDIANHUME,2100.9
ARMANFIN,2096.0
CANTABIL,2085.6
INDOCO,2074.9
BAJEL,2070.5
GMBREW,2065.6
HESTERBIO,2062.9
AEROPLANE,2055.5
ALPEXSOLAR,2053.2
GOCLCORP,2040.9
INDSWFTLAB,2025.4
ASIANENE,2016.5
DCXINDIA,2011.4
GOODYEAR,2002.3
AWFIS,1968.0
HGS,1962.9
DYCL,1955.1
BGRENERGY,1948.4
ALGOQUANT,1936.2
HATHWAY,1929.4
INSECTICID,1920.5
GRMOVER,1913.4
BCG,1907.5
EIHAHOTELS,1897.3
BEWLTD,1874.7
HINDWAREAP,1835.3
CEINSYS,1813.2
CAPACITE,1810.9
BFINVEST,1798.1
ENSER,1785.0
INDOTHAI,1756.9
HITECH,1749.8
DELTACORP,1711.9
AURUM,1710.6
ACCELYA,1702.6
GOCOLORS,1700.7
IPL,1684.0
INDORAMA,1677.9
INFOBEAN,1676.5
BLUSPRING,1673.9
GTLINFRA,1665.2
5PAISA,1663.3
GARUDA,1623.6
DOLPHIN,1620.0
DLINKINDIA,1596.7
DSSL,1589.6
ASIANTILES,1577.8
DIFFNKG,1574.2
ATULAUTO,1569.1
IFGLEXPOR,1559.4
IKIO,1553.2
ASALCBR,1546.4
DOLLAR,1540.1
IGPL,1530.5
AMRUTANJAN,1493.0
AEROENTER,1488.6
CNL,1485.1
AYMSYNTEX,1478.3
DIGITIDE,1471.9
ARFIN,1466.5
IGARASHI,1454.8
ALLTIME,1453.3
BHARATSE,1450.9
CLSEL,1437.1
GPTINFRA,1425.9
GALAPREC,1411.4
ASTEC,1401.6
BHARATWIRE,1389.4
IMPAL,1376.8
DCW,1376.0
CENTENKA,1356.0
CAPITALSFB,1348.0
FINOPB,1343.3
GODAVARIB,1334.7
GPTHEALTH,1328.7
BASILIC,1319.1
GENESYS,1317.4
INDOBORAX,1316.7
DEN,1311.1
BOROSCI,1309.3
ICEMAKE,1302.0
ASIANHOTNR,1289.0
ELECTHERM,1284.9
AGL,1279.6
DHANBANK,1278.4
EXCELINDUS,1274.7
EXPLEOSOL,1256.9
GULPOLY,1250.6
HARIOMPIPE,1248.3
GYFTR,1241.3
ARIHANT,1238.3
ANDHRAPAP,1232.9
ALLDIGI,1230.3
BHAGYANGR,1230.2
ALLCARGO,1229.7
AVADHSUGAR,1227.6
EKC,1224.1
BLKASHYAP,1221.2
AWHCL,1217.3
DOLATALGO,1198.6
GGBL,1195.2
BUTTERFLY,1193.0
ANDHRSUGAR,1183.2
APEX,1181.4
GREENPOWER,1175.4
GCSL,1136.5
ALICON,1134.3
BAJAJHCARE,1129.7
ARIHANTSUP,1125.6
